"FIPS","Year","Alzheimers Deaths","Population","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50","Poverty Percent, All Ages","% Smokers","% Excessive Drinking","% African American","% Asian","% Hispanic","% Age < 18","% Age 65 and over","% Obese","% Unemployed","% Uninsured","Median Household Income","% Rural","PM2_5GE_ThresholdLastYear","PM2_5GE_ThresholdLast2Year","PM2_5GE_ThresholdLast3Year","PM2_5GE_ThresholdLast4Year","PM2_5GE_ThresholdLast5Year","PM2_5GT35LE50LastYear","PM2_5GT35LE50Last2Year","PM2_5GT35LE50Last3Year","PM2_5GT35LE50Last4Year","PM2_5GT35LE50Last5Year","PM2_5GT50LastYear","PM2_5GT50Last2Year","PM2_5GT50Last3Year","PM2_5GT50Last4Year","PM2_5GT50Last5Year"
6025,2019,55,181215,"California","Imperial",1,0,1,22,13.43298112,16.62235449,2.544987147,2.176338675,84.26297654,28.60362085,12.6029645,27.4,19.06596377,8.326798269,43413,17.41783553,6,13,16,21,31,5,11,14,17,25,1,2,2,4,6
6029,2015,365,882176,"California","Kern",6,3,3,21.9,16,15.7,5.262554911,4.956811754,50.88089209,29.65847494,9.646185038,28,11.75709611,21.03911897,46688,10.20603098,19,38,51,60,74,15,31,42,50,63,4,7,9,10,11
6029,2016,363,884788,"California","Kern",1,1,0,22.4,16.7,19.1,5.280080129,5.02704699,51.54718388,29.44377302,9.855829424,28.5,10.43538163,20.44509035,47451,10.20603098,6,25,44,57,66,3,18,34,45,53,3,7,10,12,13
6029,2017,323,893119,"California","Kern",6,6,0,21.2,14.55685083,16.70431377,5.267656341,5.12970201,52.170882,29.21491857,10.08778294,30.3,10.21220833,14.51291957,51150,10.20603098,1,7,26,45,58,1,4,19,35,46,0,3,7,10,12
6029,2018,355,896764,"California","Kern",9,7,2,20.5,16.19314053,19.47817329,5.216051755,5.180223963,52.84599249,29.16563064,10.36621202,31.6,10.323806,9.652643406,49812,10.20603098,6,7,13,32,51,6,7,10,25,41,0,0,3,7,10
6029,2019,351,900202,"California","Kern",1,1,0,19,16.19314053,19.47817329,5.193932723,5.361211664,53.43487262,29.01293109,10.67125434,30.6,9.207053494,8.147554808,49904,10.20603098,9,15,16,22,41,7,13,14,17,32,2,2,2,5,9
6031,2015,52,150965,"California","Kings",27,18,9,22.4,12.5,14.7,6.317567568,4.321012189,52.69674086,27.72522523,8.787095919,23.7,13.52224832,19.79710217,45794,10.85160346,30,75,100,137,160,4,33,51,74,91,26,42,49,63,69
6031,2016,38,149785,"California","Kings",25,20,5,17.4,15.5,18.8,6.177588192,4.427393541,53.18994603,27.53927956,9.102343131,24.9,12.05721952,18.81542677,44490,10.85160346,27,57,102,127,164,18,22,51,69,92,9,35,51,58,72
6031,2017,31,150101,"California","Kings",31,13,18,18.4,15.23436257,19.95063334,6.137846521,4.497731262,53.63031166,27.44675918,9.370383864,26.4,10.48771293,14.28857415,46440,10.85160346,25,52,82,127,152,20,38,42,71,89,5,14,40,56,63
6031,2018,33,151366,"California","Kings",33,20,13,18.8,14.54645021,19.16708836,6.082718563,4.50312114,54.1709784,27.32917181,9.706579431,25.9,9.96624871,8.880196413,51320,10.85160346,31,56,83,113,158,13,33,51,55,84,18,23,32,58,74
