"FIPS","Year","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50"
"53053",2019,"Washington","Pierce",0,0,0
"53055",2019,"Washington","San Juan",0,0,0
"53057",2019,"Washington","Skagit",0,0,0
"53061",2019,"Washington","Snohomish",1,1,0
"53063",2019,"Washington","Spokane",0,0,0
"53065",2019,"Washington","Stevens",0,0,0
"53067",2019,"Washington","Thurston",0,0,0
"53071",2019,"Washington","Walla Walla",0,0,0
"53073",2019,"Washington","Whatcom",0,0,0
"53075",2019,"Washington","Whitman",0,0,0
"53077",2019,"Washington","Yakima",0,0,0
"53001",2018,"Washington","Adams",8,3,5
"53003",2018,"Washington","Asotin",8,5,3
"53005",2018,"Washington","Benton",7,4,3
"53007",2018,"Washington","Chelan",20,8,12
"53009",2018,"Washington","Clallam",5,1,4
"53011",2018,"Washington","Clark",4,4,0
"53013",2018,"Washington","Columbia",7,6,1
"53015",2018,"Washington","Cowlitz",4,2,2
"53021",2018,"Washington","Franklin",7,4,3
"53023",2018,"Washington","Garfield",4,3,1
"53025",2018,"Washington","Grant",10,4,6
"53027",2018,"Washington","Grays Harbor",3,0,3
"53031",2018,"Washington","Jefferson",6,3,3
"53033",2018,"Washington","King",8,3,5
"53035",2018,"Washington","Kitsap",4,1,3
"53037",2018,"Washington","Kittitas",10,4,6
"53039",2018,"Washington","Klickitat",5,3,2
"53041",2018,"Washington","Lewis",5,1,4
"53045",2018,"Washington","Mason",6,3,3
"53047",2018,"Washington","Okanogan",24,4,20
"53053",2018,"Washington","Pierce",7,2,5
"53057",2018,"Washington","Skagit",5,2,3
"53061",2018,"Washington","Snohomish",7,2,5
"53063",2018,"Washington","Spokane",12,4,8
"53065",2018,"Washington","Stevens",17,8,9
"53067",2018,"Washington","Thurston",6,1,5
"53071",2018,"Washington","Walla Walla",8,5,3
"53073",2018,"Washington","Whatcom",6,3,3
"53075",2018,"Washington","Whitman",5,3,2
"53077",2018,"Washington","Yakima",9,0,9
"53001",2017,"Washington","Adams",12,6,6
"53003",2017,"Washington","Asotin",19,9,10
"53005",2017,"Washington","Benton",10,5,5
"53007",2017,"Washington","Chelan",17,5,12
"53009",2017,"Washington","Clallam",3,1,2
"53011",2017,"Washington","Clark",5,3,2
"53013",2017,"Washington","Columbia",9,6,3
"53015",2017,"Washington","Cowlitz",2,0,2
"53021",2017,"Washington","Franklin",9,3,6
"53023",2017,"Washington","Garfield",6,3,3
"53025",2017,"Washington","Grant",12,6,6
"53027",2017,"Washington","Grays Harbor",1,0,1
"53031",2017,"Washington","Jefferson",2,2,0
"53033",2017,"Washington","King",9,6,3
"53035",2017,"Washington","Kitsap",5,4,1
"53037",2017,"Washington","Kittitas",15,10,5
"53039",2017,"Washington","Klickitat",3,1,2
"53041",2017,"Washington","Lewis",3,1,2
"53045",2017,"Washington","Mason",2,0,2
"53047",2017,"Washington","Okanogan",16,3,13
"53053",2017,"Washington","Pierce",8,4,4
"53057",2017,"Washington","Skagit",0,0,0
"53061",2017,"Washington","Snohomish",6,5,1
"53063",2017,"Washington","Spokane",16,7,9
"53065",2017,"Washington","Stevens",13,7,6
"53067",2017,"Washington","Thurston",4,3,1
"53071",2017,"Washington","Walla Walla",11,8,3
"53073",2017,"Washington","Whatcom",7,5,2
"53075",2017,"Washington","Whitman",10,5,5
"53077",2017,"Washington","Yakima",21,15,6
"53001",2016,"Washington","Adams",0,0,0
"53003",2016,"Washington","Asotin",0,0,0
"53005",2016,"Washington","Benton",0,0,0
"53007",2016,"Washington","Chelan",0,0,0
"53009",2016,"Washington","Clallam",0,0,0
"53011",2016,"Washington","Clark",0,0,0
"53013",2016,"Washington","Columbia",0,0,0
"53015",2016,"Washington","Cowlitz",0,0,0
"53021",2016,"Washington","Franklin",0,0,0
"53025",2016,"Washington","Grant",0,0,0
"53027",2016,"Washington","Grays Harbor",0,0,0
"53031",2016,"Washington","Jefferson",0,0,0
"53033",2016,"Washington","King",0,0,0
"53035",2016,"Washington","Kitsap",0,0,0
"53037",2016,"Washington","Kittitas",3,2,1
"53039",2016,"Washington","Klickitat",0,0,0
"53041",2016,"Washington","Lewis",0,0,0
"53045",2016,"Washington","Mason",0,0,0
"53047",2016,"Washington","Okanogan",0,0,0
"53053",2016,"Washington","Pierce",1,1,0
"53057",2016,"Washington","Skagit",0,0,0
"53061",2016,"Washington","Snohomish",1,1,0
"53063",2016,"Washington","Spokane",0,0,0
"53065",2016,"Washington","Stevens",0,0,0
"53067",2016,"Washington","Thurston",0,0,0
"53071",2016,"Washington","Walla Walla",0,0,0
"53073",2016,"Washington","Whatcom",0,0,0
"53075",2016,"Washington","Whitman",0,0,0
"53077",2016,"Washington","Yakima",5,2,3
"53001",2015,"Washington","Adams",6,3,3
"53003",2015,"Washington","Asotin",0,0,0
"53005",2015,"Washington","Benton",3,3,0
"53007",2015,"Washington","Chelan",3,1,2
"53009",2015,"Washington","Clallam",0,0,0
"53011",2015,"Washington","Clark",4,3,1
"53013",2015,"Washington","Columbia",1,1,0
"53015",2015,"Washington","Cowlitz",1,1,0
"53021",2015,"Washington","Franklin",4,3,1
"53025",2015,"Washington","Grant",4,2,2
"53027",2015,"Washington","Grays Harbor",0,0,0
"53031",2015,"Washington","Jefferson",0,0,0
"53033",2015,"Washington","King",0,0,0
"53035",2015,"Washington","Kitsap",0,0,0
"53037",2015,"Washington","Kittitas",2,2,0
"53039",2015,"Washington","Klickitat",1,1,0
"53041",2015,"Washington","Lewis",1,1,0
"53045",2015,"Washington","Mason",1,1,0
"53047",2015,"Washington","Okanogan",14,4,10
"53053",2015,"Washington","Pierce",5,5,0
"53057",2015,"Washington","Skagit",0,0,0
"53061",2015,"Washington","Snohomish",2,2,0
"53063",2015,"Washington","Spokane",14,10,4
"53065",2015,"Washington","Stevens",10,5,5
"53067",2015,"Washington","Thurston",1,1,0
"53071",2015,"Washington","Walla Walla",4,1,3
"53073",2015,"Washington","Whatcom",0,0,0
"53075",2015,"Washington","Whitman",5,3,2
"53077",2015,"Washington","Yakima",6,3,3
"53001",2014,"Washington","Adams",0,0,0
"53003",2014,"Washington","Asotin",3,3,0
"53005",2014,"Washington","Benton",0,0,0
"53007",2014,"Washington","Chelan",6,5,1
"53009",2014,"Washington","Clallam",0,0,0
"53011",2014,"Washington","Clark",1,1,0
"53013",2014,"Washington","Columbia",0,0,0
"53015",2014,"Washington","Cowlitz",0,0,0
"53021",2014,"Washington","Franklin",0,0,0
"53025",2014,"Washington","Grant",1,1,0
"53027",2014,"Washington","Grays Harbor",0,0,0
"53031",2014,"Washington","Jefferson",0,0,0
"53033",2014,"Washington","King",0,0,0
"53035",2014,"Washington","Kitsap",0,0,0
"53037",2014,"Washington","Kittitas",1,0,1
"53039",2014,"Washington","Klickitat",0,0,0
"53041",2014,"Washington","Lewis",0,0,0
"53045",2014,"Washington","Mason",0,0,0
"53047",2014,"Washington","Okanogan",3,2,1
