"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	18	92318	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	20	92538	21.6	16.0	0.0%
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	20	92387	21.6	18.3	0.0%
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	17	92729	Unreliable	Unreliable	0.0%
	"Lauderdale County, AL"	"01077"	"2020 "	"2020"	22	93368	23.6	18.4	0.0%
	"Lawrence County, AL"	"01079"	"2019"	"2019"	14	32924	Unreliable	Unreliable	0.0%
	"Lawrence County, AL"	"01079"	"2020 "	"2020"	10	32857	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2001"	"2001"	10	116819	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2002"	"2002"	11	118392	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2013"	"2013"	14	150933	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2014"	"2014"	11	154255	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2016"	"2016"	14	158991	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2017"	"2017"	24	161604	14.9	15.7	0.0%
	"Lee County, AL"	"01081"	"2018"	"2018"	12	163941	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2019"	"2019"	19	164542	Unreliable	Unreliable	0.0%
	"Lee County, AL"	"01081"	"2020 "	"2020"	20	166831	12.0	12.3	0.0%
	"Limestone County, AL"	"01083"	"2011"	"2011"	11	85369	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2012"	"2012"	16	87654	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2015"	"2015"	13	91663	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2016"	"2016"	10	92753	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2017"	"2017"	16	94402	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2018"	"2018"	20	96174	20.8	17.7	0.0%
	"Limestone County, AL"	"01083"	"2019"	"2019"	18	98915	Unreliable	Unreliable	0.0%
	"Limestone County, AL"	"01083"	"2020 "	"2020"	15	102228	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"1999"	"1999"	19	274692	Unreliable	Unreliable	0.0%
	"Madison County, AL"	"01089"	"2000"	"2000"	26	276700	9.4	9.9	0.0%
	"Madison County, AL"	"01089"	"2001"	"2001"	26	281517	9.2	9.4	0.0%
	"Madison County, AL"	"01089"	"2002"	"2002"	24	286439	8.4	8.4	0.0%
	"Madison County, AL"	"01089"	"2003"	"2003"	23	291342	7.9	7.9	0.0%
	"Madison County, AL"	"01089"	"2004"	"2004"	28	295655	9.5	9.2	0.0%
	"Madison County, AL"	"01089"	"2005"	"2005"	26	301474	8.6	8.0	0.0%
	"Madison County, AL"	"01089"	"2006"	"2006"	36	309170	11.6	11.0	0.0%
	"Madison County, AL"	"01089"	"2007"	"2007"	30	315859	9.5	9.2	0.0%
	"Madison County, AL"	"01089"	"2008"	"2008"	26	323526	8.0	7.6	0.0%
	"Madison County, AL"	"01089"	"2009"	"2009"	31	330856	9.4	8.5	0.0%
	"Madison County, AL"	"01089"	"2010"	"2010"	37	334811	11.1	10.3	0.0%
	"Madison County, AL"	"01089"	"2011"	"2011"	36	340111	10.6	9.1	0.0%
	"Madison County, AL"	"01089"	"2012"	"2012"	35	343080	10.2	8.8	0.0%
	"Madison County, AL"	"01089"	"2013"	"2013"	28	346892	8.1	6.8	0.0%
	"Madison County, AL"	"01089"	"2014"	"2014"	38	350299	10.8	9.7	0.0%
	"Madison County, AL"	"01089"	"2015"	"2015"	41	353089	11.6	10.0	0.0%
	"Madison County, AL"	"01089"	"2016"	"2016"	55	356967	15.4	13.0	0.0%
	"Madison County, AL"	"01089"	"2017"	"2017"	42	361046	11.6	9.6	0.0%
	"Madison County, AL"	"01089"	"2018"	"2018"	55	366519	15.0	12.9	0.0%
	"Madison County, AL"	"01089"	"2019"	"2019"	57	372909	15.3	12.7	0.0%
	"Madison County, AL"	"01089"	"2020 "	"2020"	79	379453	20.8	16.9	0.0%
